"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Appomattox County","VA","19.1","21.9","6.1","15.0","82.2","820","2268","-0.8","285","0.3","0.4","19.9","1.2","0.0","1.8","77.6","76.6","80.2","5803","7081","145400","2.58","3.3","50167","23636","17.7","62","0.9","333.49","1.2","95.5","0","28.6","51.5","1481","14973","15279","2.0","44.9","72","167","1071","7551","0.0","0.0","0.0","0.0","0.0","1111","29.2"
"Arlington County","VA","9.3","17.2","6.2","71.7","93.3","17539","132556","1.7","6219","0.7","10.3","9.1","15.7","0.1","3.2","76.6","62.8","45.2","94454","110601","584600","2.24","63.3","103208","62018","8.0","2160","23.0","25.97","29.0","78.9","0","27.3","49.9","12638","207627","226908","9.3","7993.6","11640","4531","24829","12176","0.6","9.5","6.0","8.0","0.0","19422","32.0"
"Augusta County","VA","19.4","19.7","4.3","19.9","84.2","4359","19300","-1.1","1409","0.3","0.6","4.2","2.5","0.0","1.3","93.7","91.5","80.9","27999","31798","194600","2.5","6.2","52027","25519","9.5","418","1.9","967.0","3.1","91.6","15826","23.6","49.4","6308","73750","73862","0.2","76.3","571","3063","6363","8890","0.0","0.0","0.0","0.0","0.0","6318","22.8"
"Bath County","VA","25.0","16.0","3.8","20.2","90.0","332","1454","-18.8","128","0.2","0.4","5.0","1.8","0.0","1.0","93.5","92.0","76.2","2101","3296","152600","2.17","8.3","51365","28704","16.4","4","3.8","529.16","2.1","85.7","0","31.8","49.3","396","4731","4563","-3.5","8.9","0","15","209","4498","0.0","0.0","0.0","0.0","0.0","399","0.0"
"Bedford County","VA","19.4","20.4","4.4","25.0","87.6","4549","11923","0.4","1353","0.3","1.2","7.0","2.0","0.0","1.4","90.0","88.3","85.0","27233","35779","195400","2.53","3.6","57596","28697","8.2","420","1.7","753.02","3.2","90.9","7853","27.6","50.7","7104","68676","76583","2.3","91.2","278","3689","4665","7029","0.0","0.0","0.0","0.7","0.0","5647","23.3"
"Bland County","VA","20.3","16.7","4.0","14.7","83.4","321","1293","-5.8","78","0.1","0.3","3.7","0.7","0.0","0.8","95.1","94.5","82.5","2480","3262","95200","2.37","1.9","42139","18501","16.6","13","1.5","357.73","0.8","89.2","1921","32.1","44.7","722","6824","6625","-2.9","19.1","0","0","383","5622","0.0","0.0","0.0","0.0","0.0","603","0.0"
"Botetourt County","VA","19.9","20.1","3.8","24.9","90.2","2259","9682","-0.3","725","0.3","0.7","3.5","1.5","0.0","1.2","94.3","93.1","88.1","12825","14704","213100","2.55","4.4","65935","32490","7.7","75","1.9","541.2","2.1","93.4","8838","25.6","50.6","3169","33148","33100","-0.1","61.2","0","0","2478","7661","0.0","0.0","0.0","0.0","0.0","2815","28.6"
"Brunswick County","VA","19.2","17.7","4.2","12.2","71.3","666","2451","-8.3","260","0.3","0.4","55.1","2.1","0.1","1.1","43.0","41.5","72.2","5826","8164","105600","2.55","3.8","36293","16060","24.0","0","1.5","566.17","3.0","91.0","965","29.6","47.6","887","17434","16498","-5.4","30.8","87","420","745","4203","0.0","0.0","38.7","0.0","0.0","1137","0.0"
"Buchanan County","VA","19.4","17.7","4.4","8.3","68.2","811","6464","-4.5","442","0.1","0.3","2.8","0.6","0.0","0.6","96.2","95.7","78.6","9485","11443","68200","2.41","3.3","29848","17489","25.9","9","1.4","502.76","1.8","93.5","0","30.1","49.1","1175","24098","23106","-4.1","47.9","120","1897","1439","6118","2.7","0.0","0.0","0.0","0.0","1383","0.0"
"Buckingham County","VA","16.9","18.8","5.4","11.9","70.9","707","1849","-3.8","252","0.3","0.4","34.6","2.1","0.0","1.8","62.8","61.0","76.0","5817","7282","128800","2.34","3.4","38648","17167","23.0","34","1.7","579.66","3.3","90.0","0","32.0","45.6","1289","17146","16913","-1.3","29.6","0","215","687","4306","0.0","0.0","20.8","0.0","0.0","921","0.0"
"Campbell County","VA","18.1","20.1","4.7","17.1","83.8","2776","13576","-2.6","1157","0.3","1.0","14.5","2.2","0.0","1.8","82.3","80.4","76.0","21774","25295","150300","2.5","10.0","47162","23231","14.7","297","1.8","503.87","2.6","89.8","15275","22.1","51.3","4848","54842","54885","0.1","108.8","326","2493","5117","9742","0.0","0.0","0.0","0.0","0.0","3701","29.1"
"Caroline County","VA","15.1","23.5","6.7","16.8","80.9","1584","3717","-15.2","374","0.8","0.9","28.2","4.2","0.1","3.1","67.0","63.8","80.1","10680","11998","188400","2.56","2.1","57218","25718","12.7","73","2.8","527.51","4.9","84.4","0","37.7","50.9","2747","28545","29778","4.3","54.1","147","212","3659","13410","0.0","0.0","21.7","0.0","0.0","2142","27.2"
"Carroll County","VA","21.7","19.3","4.4","12.8","76.2","1661","4205","-4.2","412","0.3","0.2","0.9","3.1","0.0","0.7","97.8","95.0","78.7","12572","16608","102900","2.36","3.3","32853","19385","18.1","52","1.9","474.69","3.1","91.1","2367","26.5","50.4","2529","30042","29621","-1.4","63.3","232","335","2030","6962","0.0","0.0","0.0","0.0","0.0","2432","0.0"
"Charles City County","VA","21.3","15.8","3.2","13.9","75.9","363","1496","12.7","141","7.2","0.4","47.5","1.7","0.1","2.7","42.1","41.1","80.5","2850","3304","147500","2.53","2.2","48428","26198","11.8","18","0.9","182.82","2.0","94.4","0","35.9","50.9","706","7256","7023","-3.2","39.7","0","0","108","1528","13.6","0.0","0.0","0.0","0.0","440","0.0"
"Charlotte County","VA","20.2","21.6","5.5","15.6","74.8","662","1731","-0.8","232","0.4","0.3","29.3","2.8","0.0","1.5","68.5","66.9","73.0","4751","6290","98900","2.59","3.0","33015","18762","17.9","13","1.1","475.27","1.7","90.2","919","32.1","50.2","1008","12586","12225","-2.8","26.5","27","100","620","5074","0.0","0.0","0.0","0.0","0.0","746","0.0"
"Chesterfield County","VA","12.8","24.4","5.8","36.3","90.1","20411","102530","4.9","6919","0.6","3.6","23.3","8.0","0.1","2.6","69.8","63.4","77.0","113637","126436","226500","2.78","15.3","72088","32572","6.7","1622","7.9","423.3","10.6","88.2","38499","25.5","51.8","27083","316236","332499","5.1","747.1","4915","15611","46158","15419","0.3","4.8","13.3","3.4","0.0","24079","30.4"
"Clarke County","VA","18.1","21.4","5.3","31.3","89.0","1292","2981","2.1","355","0.4","1.2","5.1","4.4","0.1","2.5","90.8","87.0","79.7","5580","6277","342500","2.49","6.5","77597","38748","6.7","34","3.9","176.18","5.7","91.3","2282","37.0","50.0","1639","14034","14423","2.8","79.7","89","0","916","6381","0.0","0.0","0.0","0.0","0.0","1276","31.3"
"Craig County","VA","21.1","19.3","4.5","14.6","89.7","293","329","-0.6","57","0.3","0.2","0.2","1.0","0.0","0.9","98.4","97.7","84.4","2122","2866","136500","2.43","3.3","47806","21498","8.7","18","0.3","329.53","1.7","92.9","0","32.0","49.9","636","5190","5234","1.2","15.7","0","0","157","3085","0.0","0.0","0.0","0.0","0.0","280","0.0"
"Culpeper County","VA","13.9","25.4","6.5","22.6","84.3","3337","11884","5.7","990","0.7","1.5","15.8","9.2","0.1","3.0","78.9","71.4","73.0","16039","18115","250600","2.84","10.4","64423","27379","9.1","215","6.6","379.23","8.7","88.1","0","36.2","49.7","3854","46689","49166","5.3","123.1","453","0","5473","11972","0.0","0.0","5.2","4.6","0.0","3941","24.8"
"Cumberland County","VA","19.3","21.0","5.4","14.0","76.9","526","888","-2.3","142","0.6","0.4","32.2","2.4","0.0","2.1","64.8","63.1","77.4","4049","4662","142400","2.44","2.1","40557","21540","16.3","20","1.2","297.46","4.2","93.7","0","33.6","52.2","847","10052","9827","-2.3","33.8","12","0","461","4830","0.0","0.0","0.0","0.0","0.0","654","16.8"
"Dickenson County","VA","18.9","20.6","5.2","10.5","72.4","440","2213","-9.7","202","0.2","0.2","0.4","0.9","0.0","0.5","98.7","97.9","78.1","6352","7514","75700","2.44","5.3","33318","18215","20.9","8","1.0","330.53","1.9","92.3","0","31.2","49.2","955","15903","15308","-3.7","48.1","51","83","1228","7662","0.0","0.0","0.0","0.0","0.0","891","0.0"
"Dinwiddie County","VA","16.3","20.3","4.4","12.8","80.2","1201","4699","11.2","350","0.4","0.6","32.7","2.9","0.1","1.6","64.6","62.5","76.6","9932","11578","165300","2.73","3.2","52027","23781","13.2","42","2.2","503.72","2.7","92.7","6457","28.0","51.1","2439","28001","27859","-0.5","55.6","137","2670","1149","4472","0.0","0.0","0.0","0.0","0.0","1316","0.0"
"Essex County","VA","20.4","20.0","5.4","14.7","76.7","771","3497","2.0","297","0.9","1.0","37.9","3.6","0.2","2.3","57.6","55.3","76.2","4286","5796","160800","2.57","8.6","44885","21532","11.1","16","2.5","257.12","2.9","94.6","569","32.6","52.9","929","11151","11103","-0.4","43.4","193","84","2245","20827","0.0","0.0","0.0","0.0","0.0","1078","0.0"
"Fairfax County","VA","11.5","23.8","6.7","58.6","91.8","97330","584523","1.0","29556","0.7","19.2","10.0","16.4","0.1","3.5","66.6","52.0","69.0","389908","410287","476600","2.8","27.9","110292","50532","5.9","2249","29.5","390.97","37.3","85.7","20526","32.0","50.5","83545","1081726","1137538","5.2","2766.8","27057","132994","140023","13925","0.4","17.3","7.0","8.8","0.1","109512","31.3"
"Fauquier County","VA","14.9","23.9","5.6","33.2","91.4","5671","17008","2.9","1809","0.5","1.5","8.2","7.2","0.1","2.4","87.3","81.0","80.1","23130","26226","350600","2.84","7.3","88409","39600","5.6","267","5.8","647.45","8.5","90.5","1596","39.2","50.5","6424","65203","68248","4.6","100.7","1043","0","8530","12845","0.0","0.0","3.7","3.5","0.0","7687","31.4"
"Floyd County","VA","20.4","20.5","5.0","16.0","81.4","1258","2057","1.7","307","0.2","0.6","1.9","2.8","0.0","1.2","96.1","93.7","77.6","6086","7915","144700","2.51","2.2","44618","21816","12.7","49","2.0","380.42","3.2","93.2","0","34.5","49.6","1305","15279","15578","1.9","40.2","65","258","724","4929","0.0","0.0","0.0","0.0","0.0","1545","0.0"
"Fluvanna County","VA","18.3","21.2","5.1","28.8","85.5","1631","2433","0.2","386","0.3","0.7","15.4","3.2","0.1","2.0","81.5","78.9","85.5","9462","10661","225700","2.6","2.3","68288","30881","7.1","94","2.8","286.01","3.8","91.3","0","33.5","54.3","2283","25691","26092","1.5","89.8","119","104","793","3144","0.0","0.0","0.0","0.0","0.0","2095","34.2"
"Franklin County","VA","20.8","19.7","4.8","19.1","82.7","3690","12040","0.9","1161","0.5","0.4","8.4","2.7","0.0","1.3","89.4","87.2","78.0","23358","29471","163700","2.34","7.9","45624","24557","14.0","112","2.5","690.43","3.2","85.6","0","29.8","50.7","4703","56159","56358","0.3","81.3","403","4736","4445","8657","0.0","0.0","5.0","0.0","0.0","5094","23.8"
"Frederick County","VA","15.2","23.5","5.8","27.5","86.0","5206","21853","-0.6","1442","0.4","1.6","4.6","7.4","0.1","2.0","91.4","84.8","78.3","29172","32400","226900","2.68","6.0","68424","30112","7.1","436","5.5","413.5","7.9","86.1","25787","30.3","50.2","7459","78305","82377","5.2","189.4","866","6322","11207","15427","0.0","3.5","0.0","1.9","0.0","6250","23.3"
"Giles County","VA","20.0","20.7","5.1","16.6","80.5","849","3672","-5.0","284","0.2","0.5","1.6","1.6","0.0","1.0","96.7","95.2","75.9","7167","8334","105300","2.37","6.3","45141","23485","13.3","16","1.3","355.78","4.7","85.9","0","25.8","50.8","1323","17286","16815","-2.7","48.6","124","189","1724","10026","0.0","0.0","0.0","0.0","0.0","1696","18.0"
"Gloucester County","VA","17.5","20.5","5.1","22.0","89.3","2345","6985","-0.6","871","0.5","0.9","8.4","3.3","0.0","2.4","87.8","85.0","82.9","13889","16151","228700","2.63","5.7","60519","28673","9.2","140","1.9","217.81","2.8","88.6","0","32.8","50.7","4457","36858","37141","0.8","169.2","400","0","5000","13071","0.0","0.0","4.9","0.0","0.0","3345","30.1"
"Goochland County","VA","19.4","19.1","4.0","38.0","87.4","1969","17205","0.0","638","0.3","1.3","17.7","2.4","0.0","1.4","79.3","77.3","90.2","8058","8900","338500","2.4","0.8","80976","45039","5.6","127","2.8","281.42","5.4","92.5","0","30.1","50.6","2026","21717","21936","1.1","77.2","158","973","1839","8914","0.0","0.0","0.0","0.0","0.0","2336","23.6"
"Grayson County","VA","23.6","17.9","4.7","10.9","75.3","1037","1753","-3.3","167","0.2","0.2","2.3","3.0","0.0","1.1","96.1","93.4","77.7","6618","9155","97900","2.3","3.4","30710","20591","19.1","28","0.9","442.18","2.5","86.9","934","27.7","51.3","1091","15533","15093","-2.8","35.1","0","0","475","2946","0.0","0.0","0.0","0.0","0.0","1174","0.0"
"Greene County","VA","15.7","24.3","6.4","24.1","83.1","1281","2381","-9.4","322","0.3","1.7","6.9","5.0","0.0","2.4","88.6","84.2","79.0","6897","7991","237500","2.67","2.8","59358","26998","12.0","116","4.1","156.25","5.7","87.9","0","29.3","50.4","1853","18403","19031","3.4","117.8","99","245","960","5330","0.0","0.0","0.0","0.0","0.0","1451","0.0"
"Greensville County","VA","15.1","17.5","5.2","7.2","72.7","375","1776","-12.1","96","0.3","0.6","59.3","2.1","0.0","1.0","38.8","37.5","75.8","3389","4126","99600","2.48","3.3","39697","16380","21.6","14","1.2","295.23","3.1","87.1","2486","23.5","38.8","1002","12243","11681","-4.6","41.5","141","0","1018","8558","0.0","0.0","0.0","0.0","0.0","356","0.0"
"Halifax County","VA","22.0","20.8","4.9","15.2","78.9","1696","10121","-0.3","711","0.3","0.5","36.6","1.9","0.0","1.2","61.3","59.8","72.3","14770","18080","106600","2.38","6.4","34659","20929","21.3","64","1.5","817.84","2.2","89.1","6200","23.4","52.0","2721","36241","35200","-2.9","44.3","312","1336","3240","9148","0.0","0.0","16.4","0.0","0.0","2530","26.8"
"Hanover County","VA","15.7","22.7","4.6","35.5","92.1","7514","42300","3.3","3077","0.5","1.6","9.6","2.6","0.1","1.6","86.7","84.6","83.4","36927","39863","262000","2.65","8.0","75070","33540","5.1","522","3.4","468.54","4.1","90.1","9262","25.3","51.0","7945","99863","101918","2.1","213.1","1370","34059","17063","17245","1.0","0.0","5.4","1.8","0.0","9992","23.6"
"Henrico County","VA","13.8","23.4","6.3","39.7","90.1","21238","163041","3.5","8868","0.4","7.9","30.1","5.4","0.1","2.2","59.3","55.0","65.2","123683","135002","219900","2.49","27.6","61048","33115","10.7","693","11.5","233.7","14.2","83.1","32649","21.9","52.8","22033","306935","321924","4.9","1313.4","6858","61973","67371","23251","0.7","5.4","15.4","2.3","0.0","25677","28.1"
"Henry County","VA","21.8","19.8","5.0","11.2","77.0","2322","10895","-6.4","833","0.3","0.6","22.0","5.4","0.0","1.7","75.3","70.5","74.6","22690","26101","94600","2.33","8.9","34984","19852","17.1","28","3.1","382.33","5.7","88.1","10979","24.4","51.8","4277","54151","52081","-3.8","141.6","383","5276","4369","7860","0.0","0.0","0.0","0.0","0.0","2826","27.5"
"Highland County","VA","29.4","13.3","3.2","20.9","78.9","265","361","-3.7","86","0.3","0.4","0.8","1.5","0.0","0.2","98.2","97.2","86.3","1006","1856","171700","2.26","1.3","49625","26372","10.2","12","0.3","415.16","0.5","92.0","0","22.4","50.3","272","2321","2248","-3.1","5.6","0","0","88","3700","0.0","0.0","0.0","0.0","0.0","307","0.0"
"Isle of Wight County","VA","17.3","21.1","4.6","25.5","86.1","2066","7885","1.7","638","0.4","1.0","23.9","2.7","0.0","1.9","72.7","70.6","80.6","13560","15065","249600","2.59","7.9","63942","30903","12.0","131","2.3","315.61","3.9","91.0","0","28.6","51.3","4170","35270","36007","2.1","111.8","329","1482","2127","6063","0.0","0.0","15.3","0.0","0.0","2638","26.1"
"James City County","VA","22.8","21.0","5.1","45.8","93.5","4882","26035","-1.6","1651","0.4","2.6","13.6","5.5","0.1","2.7","80.6","76.0","76.2","26883","31742","327100","2.5","17.4","76960","39133","8.7","709","7.2","142.44","7.2","88.4","15672","24.5","51.7","8923","67009","72583","7.7","470.4","1643","1400","6588","10752","0.0","0.0","6.2","0.0","0.0","6530","26.2"
"King and Queen County","VA","20.6","18.7","3.9","14.1","81.5","392","664","3.6","103","1.8","0.4","26.9","3.1","0.0","2.4","68.4","65.7","76.2","2863","3445","154200","2.45","2.7","48372","23868","9.2","13","1.8","315.14","4.5","95.5","0","42.5","49.7","703","6945","7175","3.3","22.0","0","219","161","2357","0.0","0.0","0.0","0.0","0.0","0","0.0"
"King George County","VA","11.7","26.2","6.8","31.1","91.1","1345","5582","2.0","468","0.6","1.4","17.3","4.4","0.1","3.2","77.3","73.9","73.5","8314","9781","278900","2.86","9.1","81753","34234","7.1","104","1.9","179.64","4.1","84.3","0","34.0","49.4","3007","23584","25371","7.6","131.3","146","81","1549","6873","0.0","0.0","0.0","0.0","0.0","1767","32.4"
"King William County","VA","14.4","23.5","6.1","19.2","89.4","1039","2840","1.6","307","1.4","0.9","17.5","2.5","0.0","2.3","77.9","76.0","83.1","5998","6675","199700","2.65","4.4","62670","26940","9.5","74","1.6","273.94","2.7","92.7","0","34.2","51.3","1187","15935","16186","1.6","58.2","75","306","1259","8060","0.0","0.0","0.0","0.0","0.0","1007","41.2"
"Lancaster County","VA","35.2","15.0","3.8","28.3","87.9","1033","4187","-1.9","469","0.2","0.7","28.0","1.6","0.0","1.1","69.9","68.7","79.2","5182","7591","233400","2.14","6.7","49248","30737","11.7","32","1.8","133.25","3.7","90.3","0","26.0","53.3","1460","11391","11044","-3.1","85.5","159","492","1666","14500","0.0","0.0","0.0","0.0","0.0","1820","16.7"
"Lee County","VA","18.8","19.3","5.1","11.7","74.2","1093","3197","-10.3","286","0.4","0.3","4.2","1.8","0.0","0.9","94.2","92.8","74.3","9653","11715","74300","2.49","5.7","31308","16664","26.8","16","1.1","435.52","3.0","89.8","0","28.4","47.7","1823","25587","24951","-2.5","58.8","85","274","1715","6868","0.0","0.0","0.0","0.0","0.0","1046","32.9"
"Loudoun County","VA","7.9","29.4","7.7","57.9","93.8","27410","134845","3.6","8987","0.5","17.3","7.8","13.4","0.1","3.5","70.7","58.8","77.7","106997","123150","437700","3.04","16.4","122238","46565","3.6","3480","22.8","515.56","29.6","87.9","14001","33.1","50.4","20436","312311","363050","16.2","605.8","6101","14919","44695","16109","0.6","13.0","5.0","6.9","0.1","28697","31.7"
"Louisa County","VA","17.6","21.0","5.6","18.8","82.5","2112","6385","-0.9","539","0.4","0.6","16.7","2.5","0.0","2.2","80.0","78.0","79.9","13046","16807","197700","2.55","2.8","54518","26956","10.3","168","2.6","496.3","3.2","90.6","4359","35.1","50.6","2963","33153","34348","3.4","66.8","138","1029","1538","4840","0.0","0.0","0.0","0.0","0.0","2612","0.0"
"Lunenburg County","VA","19.7","18.7","4.4","11.9","69.0","550","1511","-10.2","177","0.4","0.3","34.0","4.2","0.2","1.8","63.3","60.2","75.3","4572","5935","100400","2.48","2.5","35237","17630","22.6","13","2.9","431.68","4.7","92.4","0","29.2","47.3","1184","12914","12466","-3.5","29.9","0","457","546","4227","0.0","0.0","0.0","0.0","0.0","882","26.5"
"Madison County","VA","20.5","21.0","5.0","21.8","79.8","1085","2640","-3.7","273","0.3","0.6","9.5","2.1","0.0","2.4","87.2","85.3","80.3","5024","6006","240900","2.6","2.0","53459","27296","13.3","31","3.0","320.68","2.1","88.2","0","32.8","51.4","1356","13308","13157","-1.1","41.5","100","87","1129","8245","0.0","0.0","0.0","0.0","0.0","1514","21.5"
"Mathews County","VA","28.2","16.9","3.7","27.2","88.8","824","1068","-2.4","169","0.3","0.7","9.2","2.1","0.1","2.1","87.7","85.8","79.8","3856","5720","238500","2.29","5.4","55192","31342","10.1","25","1.7","85.93","2.3","92.0","0","32.9","51.7","1125","8978","8836","-1.6","104.5","0","0","593","6566","0.0","0.0","0.0","0.0","0.0","824","0.0"
"Mecklenburg County","VA","23.8","19.1","4.8","13.7","76.9","1626","9447","-1.2","786","0.3","0.9","34.9","2.7","0.1","1.7","62.1","60.1","73.4","12650","18686","120900","2.42","5.4","36261","20056","19.6","60","2.0","625.49","2.4","92.2","2810","26.4","51.6","2884","32727","31192","-4.7","52.3","434","746","4063","12684","0.0","0.0","9.1","0.0","0.0","2453","29.7"
"Middlesex County","VA","29.0","15.6","4.1","27.4","89.0","971","2138","-1.7","323","0.4","0.4","17.7","2.2","0.0","1.8","79.6","77.9","82.0","4400","7230","247100","2.39","3.5","53309","30531","9.4","39","2.7","130.31","2.1","90.7","0","27.7","50.8","1259","10959","10696","-2.4","84.1","87","314","944","8879","0.0","0.0","0.0","0.0","0.0","1664","20.4"
"Montgomery County","VA","11.0","16.0","4.5","42.4","89.6","4825","28942","5.6","1935","0.3","5.9","4.2","3.0","0.1","2.2","87.2","84.7","54.6","34789","39217","200200","2.44","28.5","45543","23548","24.5","233","9.1","387.01","11.0","72.3","8381","17.8","47.9","4888","94392","97244","3.0","243.9","1482","972","11026","12350","0.0","0.0","0.0","0.0","0.0","6877","24.0"
"Nelson County","VA","23.7","18.8","4.5","26.7","80.8","1247","3062","11.9","378","0.5","0.6","12.5","3.5","0.0","1.9","84.4","81.7","75.8","6404","10043","192900","2.31","13.1","48789","26059","14.2","52","3.0","470.86","2.4","88.6","0","33.2","51.4","1327","15020","14850","-1.1","31.9","61","66","756","4967","0.0","0.0","0.0","0.0","0.0","1927","32.8"
"New Kent County","VA","15.1","20.9","4.8","23.2","88.8","1427","2726","-4.0","339","1.0","1.1","13.7","2.6","0.0","2.3","81.9","79.7","89.0","6886","7898","253700","2.65","0.3","70618","32068","5.9","162","2.4","209.73","2.8","87.6","0","31.9","49.0","1926","18429","20021","8.6","87.9","96","0","1351","7837","0.0","0.0","0.0","0.0","0.0","1315","0.0"
"Northampton County","VA","24.4","19.9","5.8","20.2","78.1","991","2832","-9.1","317","0.3","0.9","35.2","8.5","0.2","1.8","61.6","54.1","68.6","5149","7322","168800","2.32","7.2","33635","23473","24.3","50","6.4","211.61","7.8","90.8","0","18.8","51.6","1133","12389","12121","-2.2","58.5","235","592","1351","10072","0.0","0.0","0.0","0.0","0.0","1285","26.0"
"Northumberland County","VA","34.3","15.9","3.9","22.1","85.6","1067","1682","-3.8","334","0.2","0.3","24.8","3.6","0.1","1.2","73.4","70.2","85.0","5691","9120","239000","2.16","1.7","51342","28568","11.1","55","3.3","191.3","2.4","95.7","0","30.6","50.5","1710","12330","12251","-0.6","64.5","52","297","902","7006","0.0","0.0","0.0","0.0","0.0","1575","0.0"
"Nottoway County","VA","18.3","20.4","6.1","12.0","73.8","656","3712","-4.6","293","0.7","0.4","39.4","4.0","0.1","1.5","57.9","55.2","64.8","5673","6717","137600","2.61","8.1","36607","19337","16.8","27","1.9","314.39","4.9","82.8","0","28.7","47.0","1236","15853","15579","-1.7","50.4","110","802","1373","8713","0.0","0.0","0.0","0.0","0.0","993","30.0"
"Orange County","VA","19.7","21.9","5.8","22.2","85.0","2261","5984","0.7","657","0.4","1.1","13.2","4.3","0.1","2.6","82.6","79.0","75.9","12621","14871","230500","2.65","7.4","60287","27655","12.6","86","4.6","340.78","6.8","86.4","2222","39.9","51.0","3541","33481","35026","4.8","98.2","259","2121","2803","8659","0.0","0.0","0.0","0.0","0.0","2973","28.4"
"Page County","VA","19.8","20.3","5.0","11.4","75.6","1385","3954","-1.9","410","0.2","0.4","2.2","1.9","0.0","1.1","96.0","94.4","72.0","9623","11648","180200","2.47","6.5","42906","22355","15.1","39","1.5","310.86","2.5","90.2","2041","34.0","50.4","1875","24042","23848","-0.9","77.3","354","96","1674","6925","0.0","0.0","0.0","0.0","0.0","1633","21.2"
"Patrick County","VA","24.2","18.1","4.0","10.7","75.3","1065","3760","-6.4","294","0.5","0.3","5.8","2.8","0.0","1.0","92.4","89.9","77.0","7846","10100","110500","2.32","3.6","34864","18860","17.1","31","1.4","483.1","2.1","90.8","2484","26.4","50.9","1588","18490","18264","-1.2","38.3","66","190","1485","7904","0.0","0.0","0.0","0.0","0.0","1487","31.6"
"Pittsylvania County","VA","20.0","19.9","4.3","13.7","79.1","2948","8074","-2.4","816","0.3","0.5","21.7","2.4","0.0","1.3","76.3","74.2","79.7","26092","31435","109600","2.38","3.9","42143","21583","14.5","73","2.1","968.94","2.9","91.2","7521","26.0","50.9","5165","63506","62383","-1.7","65.5","152","2476","2693","4421","0.0","0.0","12.1","0.0","0.0","3511","32.9"
"Powhatan County","VA","15.7","19.2","3.9","27.6","85.9","1972","4426","7.5","650","0.3","0.6","12.6","2.0","0.0","1.2","85.2","83.5","88.7","9544","10375","269700","2.61","1.9","76548","31252","5.4","191","3.0","260.22","4.5","89.4","0","32.4","46.3","2390","28046","28449","1.4","107.8","176","466","1593","5794","0.0","0.0","0.0","0.0","0.0","2793","25.8"
"Prince Edward County","VA","15.4","16.5","4.1","21.9","79.5","916","6580","-1.9","540","0.3","1.2","32.6","2.5","0.1","1.7","64.0","62.4","65.2","7453","9289","153400","2.48","15.6","37436","17208","19.8","52","2.3","349.96","6.0","82.1","0","22.2","50.9","1452","23368","23074","-1.2","66.8","399","431","3505","16279","0.0","0.0","0.0","0.0","0.0","1371","18.1"
"Prince George County","VA","12.4","21.2","5.2","17.9","86.0","1369","7999","12.8","466","0.8","1.8","32.2","7.6","0.4","3.0","61.8","56.3","71.9","10848","12281","199600","2.92","7.5","63074","24434","8.1","66","4.2","265.16","7.7","82.2","7838","22.2","45.1","4312","35725","37333","4.5","134.7","230","5026","1977","5510","0.0","0.0","20.7","0.0","0.0","1814","0.0"
"Prince William County","VA","8.3","28.1","7.9","38.1","89.1","30436","94198","3.9","7386","1.1","8.4","21.5","22.0","0.2","4.4","64.4","45.7","72.1","132442","144787","321400","3.11","16.4","98071","37401","6.3","1225","21.4","336.4","30.2","85.5","5635","39.2","50.2","40034","402002","446094","11.0","1195.0","5378","17505","49489","13724","1.2","9.3","13.9","14.7","0.1","32220","28.6"
"Pulaski County","VA","20.6","18.4","4.8","16.2","81.8","1478","10917","5.2","606","0.2","0.6","5.3","1.5","0.0","1.5","92.4","91.1","72.7","14875","17263","133900","2.28","12.7","44312","23987","13.9","45","1.5","319.86","2.4","88.5","27970","22.9","49.9","3188","34872","34322","-1.5","109.0","407","392","3172","9062","0.0","0.0","0.0","0.0","0.0","2027","28.1"
