total_cup_points,species,owner,country_of_origin,farm_name,company,region,producer,number_of_bags,bag_weight,harvest_year,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
83.42,Arabica,carcafe ltda ci,Colombia,NA,carcafe ltda,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70 kg,2015,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10,10,0.12,Green,442,442,442
83.33,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,santander,varios,275,70 kg,2015,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,0.11,Green,1650,1650,1650
83.25,Arabica,rodrigo soto,Costa Rica,coopellanobonito,panamerican coffee trading,tarrazu,Coopellanobonito,275,69 kg,2015,NA,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,0.11,NA,NA,NA,NA
83.25,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,kawacom uganda ltd,"sipi, mt elgon",Kawacom Uganda LTD,150,9000 kg,2015,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10,10,0.12,Green,NA,NA,NA
83.25,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,productos y servicios chilindron s.a. de c.v.,cuarenteño,Rafael Arroyo Zoto,11,2 kg,2015,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,0.12,Bluish-Green,1261,1261,1261
83.25,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,10,15 kg,2015,Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10,10,0.1,Blue-Green,1000,1000,1000
83.17,Arabica,yunnan coffee exchange,China,chen lin,yunnan coffee exchange,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,3,60 kg,2015,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,0.11,Green,1200,1200,1200
83.17,Arabica,yunnan coffee exchange,China,yunnan success trade co.ltd,yunnan coffee exchange,dehong prefecture,Yunnan Success Trade Co.Ltd,3,60 kg,2015,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,0.1,Green,1600,1600,1600
83.17,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,FINCA MEDINA,150,69 kg,2015,Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10,10,0.11,Green,1500,1500,1500
83.17,Arabica,juan luis alvarado romero,Guatemala,"la esperanza, margarita nuyes","unex guatemala, s.a.",oriente,PAPATURRO,100,69 kg,2015,Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10,10,0.12,Green,1400,1900,1650
83.08,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Ipanema Agricola,320,60 kg,2015,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10,10,0.11,Bluish-Green,905,905,905
83.08,Arabica,"lin, che-hao krude 林哲豪",Taiwan,kan tou mountain coffee 崁頭山咖啡館,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Tseng ju feng / Kuo jun hong 曾如楓 / 郭俊宏,20,60 kg,2015,Typica,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,0,Green,700,800,750
83.08,Arabica,bourbon specialty coffees,Brazil,NA,bourbon specialty coffees,chapadão de ferro (cerrado mineiro),NA,300,60 kg,2015,Mundo Novo,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,10,10,0.11,Green,NA,NA,NA
83,Arabica,ucfa,Uganda,isule farmers group,ucfa,"kasese, mt. rwenzori",Xavier Baluku,310,60 kg,2015,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10,10,0.12,Green,1473,1473,1473
83,Arabica,ucfa,Uganda,ibanda farmers group,ucfa,"kasese, mt. rwenzori",Emmanuel Munaaba,325,60 kg,2015,Bourbon,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10,10,0.12,Green,1645,1645,1645
83,Arabica,juan luis alvarado romero,Guatemala,el chile,mercon guatemala s.a.,nuevo oriente,OVIDIO CARDONA,275,69 kg,2015,Catuai,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10,10,0.11,Green,1300,1800,1550
83,Arabica,juan luis alvarado romero,Guatemala,nueva granada,"agricola nueva granada, s.a.","el tumbador, san marcos","Agricola Nueva Granada, S. A.",200,69 kg,2015,Catuai,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10,10,0.11,Green,1371.6,1371.6,1371.6
83,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,FINCA MEDINA,250,69 kg,2015,Bourbon,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10,10,0.11,Green,1500,1500,1500
82.92,Arabica,renee a. perrine,Philippines,kalugmanan agri development corp.,hineleban foundation,"bukidnon, mindanao, philppines",Hineleban Foundation,250,2 kg,2015,Other,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10,10,0.11,Blue-Green,1200,1200,1200
82.92,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,pinzoneno,productos y servicios chilindron s.a. de c.v.,cuarenteño,Catalina Rodriguez Mayorga,11,2 kg,2015,Typica,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10,10,0.13,Blue-Green,1059,1059,1059
82.92,Arabica,andrew bowman,Mexico,fiech (mixed producers),"tony's coffee and teas, inc.",chiapas,FIECH,275,2 kg,2015,Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10,10,0.12,Bluish-Green,1300,1300,1300
82.83,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Ipanema Agricola,320,60 kg,2015,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10,10,0.11,Bluish-Green,905,905,905
82.83,Arabica,samuel muhirwa,Rwanda,gicumbi,bufcoffee ltd,gicumbi,Bufcoffee_Gicumbi,150,60 kg,2015,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,0.11,Bluish-Green,1900,1900,1900
82.83,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,80,69 kg,2015,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10,10,0.11,Green,1219.2,1219.2,1219.2
82.83,Arabica,cafebras,Brazil,santa fé 2,cafebras comercio de cafés do brasil sa,cerrado,Antonio Batista Francisquine,300,60 kg,2015,Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10,10,0.12,Green,900,900,900
82.75,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Ipanema Agricola,320,60 kg,2015,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10,10,0.11,Bluish-Green,905,905,905
82.75,Arabica,yunnan coffee exchange,China,man ganna estate,yunnan coffee exchange,yunnan,"Puwen Lvyou Coffee Co.,Ltd",3,60 kg,2015,Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10,10,0.1,Green,1100,1100,1100
82.75,Arabica,yunnan coffee exchange,China,pu'er lingdu yunlin coffee co.ltd,yunnan coffee exchange,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3,60 kg,2015,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10,10,0.11,Green,1500,1500,1500
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Laos,savan coffee bean,宸嶧國際,"paksong,laos","Paksong,Laos",60,50 kg,2015,Catimor,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10,10,0.13,Bluish-Green,1300,1300,1300
82.67,Arabica,federacion nacional de cafeteros,Colombia,NA,federacion nacional de cafeteros,huila,NA,1,2 kg,2015,NA,Washed / Wet,7.75,7.5,7.33,7.58,7.33,7.75,10,10,0,Green,NA,NA,NA
82.58,Arabica,andry simarmata,Indonesia,small holders farmer,pt. sari makmur tunggal mandiri,aceh,SMALL HOLDERS FARMER,150,2 kg,2015,Typica,Semi-washed / Semi-pulped,7.83,7.58,7.42,7.33,7.42,7.5,10,10,0.13,Blue-Green,1200,1300,1250
82.42,Arabica,yunnan coffee exchange,China,menglian gao sanlin coffee factory,yunnan coffee exchange,yunnan,Menglian Gao Sanlin Coffee Factory,3,60 kg,2015,Catimor,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,0.1,Green,1600,1600,1600
82.33,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,100,69 kg,2015,Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,0.1,Bluish-Green,1850,1850,1850
82.33,Arabica,rodrigo soto,Costa Rica,rio jorco,panamerican coffee trading,tarrazu,Johanna,130,69 kg,2015,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10,10,0,Green,1550,1550,1550
82.33,Arabica,yunnan coffee exchange,China,yun lan coffee co. ltd,yunnan coffee exchange,xishuangbanna prefecture,Yun Lan Coffee Co. Ltd,3,60 kg,2015,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,0.12,Green,1580,1580,1580
82.33,Arabica,bourbon specialty coffees,Brazil,NA,bourbon specialty coffees,chapadão de ferro (cerrado mineiro),NA,300,60 kg,2015,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10,10,0.11,Green,NA,NA,NA
82.33,Arabica,juan luis alvarado romero,Guatemala,finca loma linda y anexo,exportcafe,huehuetenango,AMANCIO DEL VALLE CARRILLO,275,69 kg,2015,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10,10,0.1,Green,1676.4,1676.4,1676.4
82.25,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10,10,0.11,Green,1350,1350,1350
82.17,Arabica,bismarck castro,Honduras,las cuchillas,cigrah s.a de c.v,comayagua,Nahun Maldonado,200,69 kg,2015,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10,10,0.11,Bluish-Green,1500,1500,1500
82.17,Arabica,langiro farm group,"Tanzania, United Republic Of",langiro farm group,tawoca,ruvuma,Langiro farm group,30,80 kg,2015,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10,10,0.13,Green,1500,1800,1650
82.17,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10,10,0.11,Green,1350,1350,1350
82.08,Arabica,"cafetalera internacional cafinter, s.a.",Costa Rica,el patalillo,"cafetalera internacional cafinter, s.a.",tres rios,JOSE FRANCISCO GONZALEZ,275,350 kg,2015,Caturra,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10,10,0,Blue-Green,1200,1400,1300
82,Arabica,didas,"Tanzania, United Republic Of",family farm,tawoca,kilimanjaro,Mr & Mrs Didas Mallya,2,80 kg,2015,Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10,10,0.13,Green,1500,1800,1650
82,Arabica,minwook ku,Laos,club green,kettles coffee roasters,lao p.d.r.,HanYong Choi,1,2 kg,2015,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10,10,0.12,Blue-Green,1250,1250,1250
81.92,Arabica,juan luis alvarado romero,Guatemala,las cebollas y anexos,asociación nacional del café - anacafe -,nuevo oriente,OVIDIO CARDONA,275,69 kg,2015,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10,10,0.11,Green,1300,1800,1550
81.83,Arabica,aulia arif syahri,Indonesia,mudar,pt. olam indonesia,bali,MUDAR,166,30 kg,2015,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10,10,0.11,Green,1250,1250,1250
81.83,Arabica,juan luis alvarado romero,Guatemala,chapultepec,"unex guatemala, s.a.",norte,CHAPULTEPEC,130,69 kg,2015,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10,10,0.1,Green,3280,3280,3280
81.83,Arabica,u mg mg,Myanmar,wat-ka-bu,NA,ywar ngan,U Mg Mg,1,2 kg,2015,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10,10,0,Green,4001,4001,4001
81.83,Arabica,viridiana,Mexico,rancho bonito,agroindustrias unidas de mexico sa de cv,chiapas,MARTINIANO A. MORENO ALVARADO,250,2 kg,2015,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10,10,0.11,Green,1350,1500,1425
81.83,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,JOSE OMAR ACOSTA,275,1 kg,2015,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10,10,0.12,Green,1400,1400,1400
81.83,Arabica,"cafetalera internacional cafinter, s.a.",Costa Rica,el patalillo,"cafetalera internacional cafinter, s.a.",tres rios,JOSE FRANCISCO GONZALEZ,275,18975 kg,2015,Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10,10,0.09,Green,1200,1400,1300
81.58,Arabica,"ceca, s.a.",Costa Rica,cafetalera aquiares,"ceca,s.a.",turrialba,Cafetalera Aquiares,250,69 kg,2015,Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10,10,0.12,Green,13,13,13
81.5,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,谷泉咖啡莊園,宸嶧國際,古坑鄉荷包村尖山坑60號,劉易騰,123,2 kg,2015,Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10,10,0.12,Green,160,200,180
81.5,Arabica,genius coffee,Myanmar,mixed,"aung nay lin htun co., ltd",ywar ngan township,Genius Coffee Estate,1,1 kg,2015,Catuai,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10,10,0,Green,1219.2,1219.2,1219.2
81.42,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,Jose Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.5,7.33,7.17,7.25,7.5,7.42,10,10,0.12,Green,1400,1400,1400
81.33,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Jose Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.58,7.42,7.17,7.42,7.17,7.17,10,10,0.09,Green,1350,1350,1350
81.25,Arabica,"lin, che-hao krude 林哲豪",Taiwan,jing jing café 晶晶坊青山咖啡教室,taiwan coffee laboratory,"dongshan dist., tainan city 台南市東山區",Hu Guei Jing 胡桂青,20,50 kg,2015,Typica,Natural / Dry,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,0.12,Green,680,680,680
81.25,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,cafetales santa matilde,"comercial internacional exportadora, s.a.",jinotega,Rolando Lacayo,275,69 kg,2015,Catuai,Washed / Wet,7.08,7.5,7.33,7.17,7.42,7.25,10,10,0.1,Green,1100,1100,1100
81.25,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,JOSE OMAR ACOSTA,275,1 kg,2015,Catuai,Washed / Wet,7.42,7.17,7.17,7.5,7.33,7.25,10,10,0.12,Green,1400,1400,1400
81.17,Arabica,andreas kussmaul,Mexico,exportadora café california,exportadora café california,"chiapas, jaltenango",Exportadora Café California,275,1 kg,2015,Caturra,Washed / Wet,7.75,7.58,7.08,7.25,7.08,7.25,10,10,0.12,Green,1200,1200,1200
81.17,Arabica,"cafetalera internacional cafinter, s.a.",Costa Rica,el patalillo,"cafetalera internacional cafinter, s.a.",tres rios,JOSE FRANCISCO GONZALEZ,275,18975 kg,2015,Caturra,Washed / Wet,7.5,7.5,7.33,7.17,7.08,7.17,10,10,0.11,Bluish-Green,1200,1400,1300
81.17,Arabica,NA,Honduras,los hicaques,cigrah,central region,Reinerio Zepeda,275,1 kg,2015,Catuai,Natural / Dry,7.42,7.33,7,7.42,7.33,7.33,10,10,0.13,Green,1450,1450,1450
81.08,Arabica,rolando lacayo,Nicaragua,cafetales santa matilde,"comercial internacional exportadora, s.a.",jinotega,ROLANDO LACAYO,275,69 kg,2015,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.33,7.33,10,10,0.11,NA,1100,1100,1100
81,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2015,Bourbon,Washed / Wet,7.5,7.25,7,7.25,7.5,7.25,10,10,0.11,Green,1219.2,1219.2,1219.2
81,Arabica,"lin, che-hao krude 林哲豪",Taiwan,jing jing café 晶晶坊青山咖啡教室,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",HU KUEI CHING 胡桂青,10,5 kg,2015,Typica,Washed / Wet,7.25,7.17,7.17,7.25,7.5,7.33,10,10,0.12,Bluish-Green,758,758,758
80.92,Arabica,min hlaing,Myanmar,sithar coffee farm,"sithar coffee co., ltd.",pyinoolwin,Min Hlaing,2,2 kg,2015,Other,Other,7.17,7.42,7,7.58,7.33,7,10,10,0,NA,1066.8,1066.8,1066.8
80.75,Arabica,u soe,Myanmar,myaing,NA,ywar ngan,U Soe,1,2 kg,2015,Catuai,Washed / Wet,6.92,7.5,7,7.58,7.5,7.08,10,10,0,Green,3825,3825,3825
80.75,Arabica,juan luis alvarado romero,Guatemala,finca los cerros y anexos,exportcafe,huehuetenango,OTTONIEL VILLATORO LOPEZ,275,69 kg,2015,Caturra,Washed / Wet,7.5,7.33,7,7.42,7.17,7.17,10,10,0.12,Green,1658.112,1755.648,1706.88
80.75,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,cafetales santa matilde,"comercial internacional exportadora, s.a.",jinotega,ROLANDO LACAYO,275,69 kg,2015,Other,Washed / Wet,7.25,7.25,7.17,7.25,7.33,7.25,10,10,0.12,Green,110000,110000,110000
80.75,Arabica,bismarck castro,Honduras,juan damaso,cigrah s.a de c.v,"siguatepeque, comayagua",La Gran Manzana,275,1 kg,2015,Caturra,Natural / Dry,7.5,7.33,7,7.42,7.25,7.17,10,10,0.11,Green,1450,1450,1450
80.75,Arabica,cadexsa,Honduras,bethel,cadexsa,marcala,Jose Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.42,7.17,7.08,7.42,7.25,7.25,10,10,0.09,Green,1350,1350,1350
80.75,Arabica,NA,Honduras,los hicaques,cigrah,central region,Reinerio Zepeda,275,1 kg,2015,Catuai,Natural / Dry,7.25,7.33,7.08,7.5,7.25,7.33,10,10,0.13,Green,1450,1450,1450
80.67,Arabica,aulia arif syahri,Indonesia,darmawi,pt. olam indonesia,sumatra brastagi,Surbakti,200,30 kg,2015,Mandheling,Semi-washed / Semi-pulped,7.58,7.42,7,7.67,7.5,7.5,9.33,10,0.13,Blue-Green,1200,1500,1350
80.67,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,240,1 kg,2015,Caturra,Washed / Wet,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,0.11,Blue-Green,185,185,185
80.5,Arabica,shwe yin mar coffee,Myanmar,mixed,shwe yin mar coffee,pyin oo lwin,Shwe Yin Mar,1,2 kg,2015,Other,Washed / Wet,7.17,7.33,7.17,7.42,7.25,7.08,10,10,0,Green,3800,3800,3800
80.25,Arabica,bob mccauley,Myanmar,waylead farms,"waylead industrial co, ltd.","yauk sauk, shan state","Waylead Co, Ltd",2,2 kg,2015,Other,Natural / Dry,8,7.08,7,7.33,7.08,6.92,10,10,0.11,Green,914.4,914.4,914.4
80.25,Arabica,gloria antonieta escobar urrutia,Nicaragua,finca el consuelo,zeas escobar y compañía limitada,matagalpa,GLORIA ANTONIETA ESCOBAR URRUTIA,275,69 kg,2015,Caturra,Washed / Wet,7.08,6.92,7,7.25,7.5,7.25,10,10,0.11,Green,900,900,900
80.17,Arabica,"exportadora atlantic, s.a.",Nicaragua,los mesones,exportadora atlantic s.a,jinotega,Sheldom La rue,275,2 kg,2015,Caturra,Washed / Wet,7.17,7.08,7.08,7.33,7.25,7.08,10,10,0.11,NA,1100,1275,1187.5
80.17,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,Jose Omar Acosta,275,1 kg,2015,Catuai,Washed / Wet,7.25,7.25,7,7.17,7.08,7.08,10,10,0.11,Green,1400,1400,1400
80,Arabica,ngu shwe li,Myanmar,doe kwin,ngu shwe li coffee estate,"doe kwin, pyin oo lwin",Ngu Shwe Li Coffee Estate,1,2 kg,2015,Other,Washed / Wet,7.17,7.33,7,7.42,7.17,7,10,10,0,Green,3845,3845,3845
79.92,Arabica,federacion nacional de cafeteros,Colombia,NA,federacion nacional de cafeteros,huila,NA,275,2 kg,2015,NA,Washed / Wet,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,0,Green,NA,NA,NA
79.5,Arabica,cooperativa el gorrion r.l,Nicaragua,las nubes,cooperativa el gorrion r.l,jinotega,Cooperativa de Servicio Múltiples el Gorrión R.L,275,69 kg,2015,Caturra,Natural / Dry,6.92,6.92,7,7.42,7.25,7,10,10,0.12,Green,1050,1050,1050
79.17,Arabica,juan luis alvarado romero,Guatemala,el chile,mercon guatemala s.a.,nuevo oriente,OVIDIO CARDONA,275,69 kg,2015,Catuai,Washed / Wet,7.25,7.17,6.75,7.25,7,6.92,10,10,0.11,Green,1300,1800,1550
83.25,Robusta,andrew hetzel,India,sethuraman estate,sethuraman estate,chikmagalur,Nishant Gurjer,300,2 kg,2015,NA,NA,7.92,7.83,7.92,8,7.83,7.92,10,7.83,0,Green,1000,1000,1000
82.5,Robusta,nishant gurjer,India,sethuraman estate,kaapi royale,chikmagalur karnataka,Sethuraman Estate Kaapi Royale,320,60 kg,2015,Other,Washed / Wet,7.67,7.75,7.58,7.83,7.83,8,10,7.92,0.09,Green,1000,1000,1000
81.58,Robusta,nishant gurjer,India,sethuraman estate kaapi royale,kaapi royale,chikmagalur karnataka,Sethuraman Estate Kaapi Royale,320,60 kg,2015,Other,Natural / Dry,7.67,7.83,7.75,7.5,7.75,7.58,10,7.75,0.11,Green,1000,1000,1000
81.42,Robusta,andrew hetzel,India,sethuraman estate,sethuraman estate,chikmagalur,Nishant Gurger,300,1 kg,2015,NA,NA,7.75,7.75,7.67,7.67,7.58,7.58,10,7.58,0,Green,1000,1000,1000
86.67,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69 kg,2016,Caturra,NA,8.17,8.08,8.08,8,8.08,8,10,10,0.1,Green,1400,1400,1400
85.92,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,2016,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,0.1,Green,NA,NA,NA
85.25,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,250,69 kg,2016,Bourbon,NA,8,7.92,7.75,8,7.92,7.83,10,10,0.1,Green,NA,NA,NA
85.08,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee planation,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,320,19200 kg,2016,Other,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,0.11,Green,NA,NA,NA
85,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,kyagalanyi coffee ltd,eastern uganda,Kyagalanyi Coffee Ltd,200,60 kg,2016,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,0.11,Green,1800,1800,1800
85,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,135,70 kg,2016,Caturra,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,0,Green,NA,NA,NA
85,Arabica,troy quimby,Costa Rica,estate la patricia,bold coast coffee,tarrazu,Manuel Montero,36,46 kg,2016,Catuai,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,0.12,Green,1900,1900,1900
84.92,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,243,70 kg,2016,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,0,NA,NA,NA,NA
84.83,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20 kg,2016,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,0,Green,350,350,350
84.67,Arabica,consejo salvadoreño del café,El Salvador,monterrey,cafetalera del pacifico,apaneca,J.J. Borja Nathan,150,69 kg,2016,Bourbon,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,0,Blue-Green,1350,1350,1350
84.67,Arabica,sanjava coffee,Indonesia,sran temanggung plantation,pt. shriya artha nusantara,"temanggung, indonesia",PT. Shriya Artha Nusantara,2,1 kg,2016,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,0.12,Green,1200,1200,1200
84.58,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,santander,NA,250,70 kg,2016,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,0,Blue-Green,1500,1500,1500
84.58,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,125,70 kg,2016,Caturra,Washed / Wet,7.92,7.83,7.58,8,7.83,7.67,10,10,0,Green,NA,NA,NA
84.5,Arabica,ecom japan limited,Uganda,kawacom sipi project,kawacom uganda ltd,eastern uganda,Kawacom Uganda Ltd,200,12000 kg,2016,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,0.11,Green,1750,1750,1750
84.42,Arabica,max gurdian,Costa Rica,several farmers,beneficios volcafé costa rica,tarrazu,Beneficio San Diego,275,69 kg,2016,Caturra,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,0.1,Blue-Green,1300,1300,1300
84.33,Arabica,bismarck castro,Honduras,las cuchillas,cigrah s.a de c.v,comayagua,Nahun Maldonado,275,66 kg,2016,Caturra,NA,7.92,8,7.75,7.67,7.67,7.75,10,10,0.1,Green,1500,1500,1500
84.33,Arabica,raúl vargas,Colombia,NA,skn caribecafe ltda,huila,NA,275,70 kg,2016,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,0,Green,NA,NA,NA
84.33,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,central region,Reinerio Zepeda,275,69 kg,2016,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,0.11,Green,1500,1500,1500
84.33,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,la plata,NA,275,70 kg,2016,NA,NA,7.67,7.67,7.75,7.83,7.75,7.83,10,10,0,NA,NA,NA,NA
