"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Wasatch County","UT","12.3","30.7","7.4","39.9","94.6","3423","0.7","1.0","0.8","13.7","0.2","1.7","95.4","83.2","73.0","9879","14322","419900","3.19","85166","35641","7.6","1175.5","12.4","82.0","41491","24.0","49.1","1019","34788","23530","20.0","63070","267372","2945","940","1575","99","2758","233","2594"
"Wasco County","OR","21.0","22.1","6.2","19.6","86.4","1383","3.8","1.1","0.8","19.2","0.7","2.6","91.0","73.6","62.2","10305","11773","212900","2.42","53105","27445","8.0","2381.52","15.5","86.0","93565","18.2","49.8","2385","26670","25213","10.6","66708","389437","1967","551","998","156","1689","130","1671"
"Waseca County","MN","18.6","23.2","5.7","21.4","93.0","1149","0.8","0.9","2.3","6.4","0.0","1.6","94.5","88.7","77.5","7425","7959","158900","2.38","56762","29929","3.6","423.36","5.1","88.1","1061479","21.2","51.6","1112","18968","19136","45.2","12481","180647","1442","467","786","50","1298","51","1312"
"Washakie County","WY","22.2","22.9","5.1","23.4","89.8","687","1.8","0.8","0.6","14.2","0.1","2.3","94.5","82.2","76.5","3365","3868","165800","2.34","54158","28101","1.6","2238.55","7.3","86.9","187499","12.2","49.2","719","7685","8533","3.8","11642","95392","847","258","328","71","727","76","685"
"Washburn County","WI","27.4","18.8","4.5","23.0","92.2","1458","1.8","0.7","0.4","2.0","0.1","1.7","95.4","93.9","80.0","7236","13425","157400","2.14","50280","29584","1.1","797.11","1.9","88.9","198882","24.5","50.4","1492","16623","15911","20.0","24973","195998","2041","532","1068","52","1943","152","1742"
"Washington County","AL","19.7","22.1","5.5","12.7","82.6","992","8.0","1.1","23.3","1.6","0.1","1.4","66.0","65.0","82.7","5990","8634","89100","2.74","41370","26752","2.7","1080.21","1.3","93.4","-1","33.4","51.0","961","15388","17581","16.3","-1","75720","1176","402","583","341","789","132","998"
"Washington County","AR","12.1","24.1","6.7","33.3","85.0","17827","1.6","2.6","3.8","17.1","2.8","2.9","86.3","70.4","52.6","87325","96310","173400","2.57","50451","27790","11.1","941.97","18.0","81.0","3487047","21.2","50.0","11960","245871","203065","215.6","399430","2925758","18555","5948","9550","2400","15226","1629","15097"
"Washington County","CO","21.4","22.4","5.7","15.4","91.9","394","0.6","0.4","1.2","10.9","0.1","2.0","95.7","85.7","66.9","2087","2476","151300","2.19","50094","27860","2.8","2518.03","4.9","77.0","-1","24.6","47.9","353","4817","4814","1.9","1013","31591","308","94","124","0","287","28","232"
"Washington County","FL","17.2","19.9","5.2","12.5","81.3","1631","1.3","0.6","15.1","3.8","0.4","2.4","80.2","77.1","77.7","8827","10991","113200","2.48","37022","18401","3.2","582.8","5.3","85.6","-1","30.8","45.8","1922","25318","24896","42.7","21873","174668","1402","490","795","221","1134","217","1133"
"Washington County","GA","17.8","21.6","5.6","12.3","81.3","1271","0.2","0.6","53.8","2.6","0.0","1.3","44.1","42.2","66.6","7503","9490","84800","2.46","38068","20303","1.9","678.45","2.9","83.7","157522","21.9","48.9","1078","19988","21187","31.2","18256","186951","1530","649","669","633","831","168","1251"
"Washington County","IA","20.0","24.4","6.6","21.8","91.4","1812","0.3","0.7","1.2","6.5","0.1","1.4","96.3","90.4","71.0","8832","9830","151600","2.46","62556","30547","4.1","568.84","8.8","87.8","398816","21.7","50.7","1451","22565","21704","38.2","-1","256079","2147","676","1093","77","1971","240","1780"
"Washington County","ID","25.9","22.6","5.6","16.3","85.0","608","1.7","1.0","0.6","16.8","0.2","2.3","94.3","79.1","72.5","4035","4689","148900","2.46","40992","22650","6.3","1452.98","11.5","86.0","-1","18.8","50.2","706","10500","10198","7.0","5383","83709","739","172","443","81","620","177","499"
"Washington County","IL","20.7","21.1","5.6","20.9","92.2","902","0.2","0.5","1.0","1.4","0.0","1.0","97.2","96.0","77.5","6020","6682","113500","2.29","61763","32838","0.9","562.57","1.9","89.4","445603","24.6","50.0","997","13761","14716","26.2","-1","200849","1360","434","781","27","1264","181","1056"
"Washington County","IN","17.3","23.0","5.9","13.4","85.0","1749","0.3","0.3","0.5","1.4","0.0","1.0","97.9","96.7","77.8","10940","12513","118100","2.52","47983","25015","0.7","513.73","2.2","89.5","339004","32.3","50.1","1839","28182","28262","55.0","-1","215448","1788","327","1027","32","1647","168","1467"
"Washington County","KS","23.9","22.6","6.8","20.3","91.6","460","0.6","0.8","0.6","4.0","0.1","1.2","96.8","93.3","77.9","2332","2933","82000","2.29","50588","27841","2.6","894.76","3.2","94.1","35093","20.2","49.1","347","5530","5799","6.5","3247","45554","578","180","253","0","546","0","530"
"Washington County","KY","18.5","23.0","6.3","18.8","84.0","839","0.2","0.8","5.5","4.0","0.1","1.8","91.6","87.9","75.0","4581","5228","128300","2.52","53743","26035","2.3","297.27","5.6","89.3","248287","24.7","50.5","531","12027","11717","39.4","-1","75956","780","248","396","39","715","131","623"
"Washington County","MD","17.5","21.7","5.7","21.9","87.2","8918","0.3","1.9","12.5","5.8","0.1","3.1","82.0","77.4","65.9","56035","61767","210300","2.52","60860","30464","5.2","457.78","7.5","85.6","2735043","30.1","49.1","10548","154705","147430","322.1","258678","2457555","10639","3830","5409","1342","8658","978","8878"
"Washington County","ME","24.8","18.9","4.6","22.0","89.3","3719","5.3","0.5","0.7","2.6","0.0","2.1","91.3","89.3","76.5","13791","23426","112400","2.21","41347","25157","4.0","2562.66","6.0","86.5","359160","21.1","51.0","2995","31095","32856","12.8","28163","433142","4798","1034","2981","182","4474","500","3889"
"Washington County","MN","15.6","24.3","5.8","44.3","96.1","19068","0.6","6.4","5.0","4.5","0.1","2.5","85.4","81.6","81.1","94431","100996","289400","2.67","96671","45822","6.9","384.28","9.8","88.7","5767053","25.9","50.6","13322","267568","238136","619.7","399030","2976360","21302","7729","11035","2089","18613","1932","18414"
"Washington County","MO","17.2","22.6","5.7","9.9","76.9","1104","0.5","0.3","2.5","1.5","0.0","1.5","95.2","94.0","79.4","9231","11079","94400","2.57","41483","20581","0.3","759.91","1.0","89.8","290144","32.4","48.5","1956","23514","25195","33.2","-1","122281","1126","336","638","0","1069","103","926"
"Washington County","MS","16.7","25.6","6.9","17.9","78.8","3298","0.3","0.8","72.4","1.7","0.1","0.7","25.8","24.8","52.9","17988","21594","75600","2.53","29705","20174","1.1","724.74","2.5","88.4","711304","16.9","53.9","1708","44922","51137","70.6","121891","656607","4060","1808","1823","2243","1601","398","3428"
"Washington County","NC","25.3","19.9","5.1","11.5","83.7","603","0.9","0.4","48.9","5.6","0.0","2.0","47.7","44.2","66.5","4977","6450","85400","2.37","35979","23431","1.6","348.14","2.3","89.0","394643","24.2","52.8","937","11003","13228","38.0","-1","127671","865","370","395","199","597","221","573"
"Washington County","NE","18.6","24.1","5.5","29.9","95.6","1628","0.5","0.4","0.8","3.0","0.1","1.3","96.9","94.3","78.3","8185","8713","196100","2.45","71430","35145","1.1","389.96","2.4","89.1","1549714","22.5","49.8","1518","20865","20234","51.9","16086","747416","2109","476","1260","69","1979","247","1732"
"Washington County","NY","20.1","18.6","4.7","20.5","87.9","3729","0.3","0.6","3.5","2.9","0.0","1.4","94.1","92.0","74.0","24014","29650","149000","2.43","57258","28530","2.6","831.18","5.2","86.6","1206239","26.5","48.3","4237","61302","63216","76.1","38023","498799","4420","1484","2393","149","4051","442","3639"
"Washington County","OH","21.6","19.7","5.0","18.8","90.6","3784","0.3","0.7","1.3","1.2","0.0","1.8","95.9","94.9","73.6","25197","28215","132400","2.33","50021","28782","1.3","631.97","2.1","88.4","-1","23.0","50.8","4909","59771","61778","97.8","-1","756318","5390","1271","3148","109","4986","478","4458"
"Washington County","OK","19.8","23.8","6.3","28.5","90.4","3264","10.8","2.3","2.7","6.3","0.1","6.9","77.2","72.3","70.8","20455","23838","120600","2.5","54997","30847","4.5","415.45","6.9","85.0","253243","18.9","51.2","3450","52455","50976","122.7","90957","652236","4082","1037","2275","575","3246","480","3273"
"Washington County","OR","13.9","22.5","5.8","44.4","92.2","40983","1.1","11.7","2.5","17.1","0.5","4.5","79.6","64.6","61.6","219053","234162","386600","2.66","82215","39679","17.7","724.23","24.8","83.8","13525848","25.2","50.5","31391","600372","529710","731.4","970572","8389744","43536","16207","21357","7571","33958","4102","36745"
"Washington County","PA","21.0","19.4","5.0","30.0","93.1","13129","0.2","1.2","3.3","1.8","0.0","1.9","93.3","91.9","75.6","84948","96616","167900","2.38","63543","35537","1.9","856.99","2.9","87.7","3561898","26.7","50.8","14405","209349","207820","242.5","318020","2342057","15079","4718","8876","679","13752","1591","12689"
"Washington County","RI","21.5","16.2","3.6","46.1","94.9","12132","0.9","2.0","1.5","3.4","0.0","2.0","93.5","90.8","74.0","49102","64706","343000","2.43","85531","42869","4.7","329.24","6.2","89.9","1883612","26.9","51.6","7933","129839","126979","385.7","342394","1675737","14292","4541","8101","539","13302","1436","12316"
"Washington County","TN","18.8","18.9","4.9","31.8","88.8","8697","0.5","1.7","4.5","3.6","0.1","2.1","91.3","88.2","64.4","53859","61196","163000","2.28","48334","29656","4.1","326.47","4.8","81.7","1503724","20.7","51.1","10879","133001","122979","376.7","278536","2011547","9519","2685","5333","576","8536","1126","7559"
"Washington County","TX","22.0","21.4","5.6","26.8","86.7","3532","0.6","1.8","17.6","16.7","0.1","1.4","78.6","63.4","74.1","12625","16560","179100","2.6","54971","32625","7.3","603.95","14.7","87.7","883567","20.8","51.1","2139","35805","33718","55.8","54915","569231","3632","1019","2057","831","2624","297","3188"
"Washington County","UT","22.0","25.6","6.5","28.1","92.9","15006","1.7","1.0","0.9","10.9","0.9","2.2","93.2","83.8","70.4","57144","74129","283800","2.87","59839","29010","5.4","2426.36","9.7","84.7","415267","17.3","50.4","10725","180279","138115","56.9","282277","1900834","15167","4106","7910","692","13931","1272","12834"
"Washington County","VA","23.6","18.0","4.3","22.8","85.7","3428","0.2","0.5","1.5","1.6","0.1","0.9","96.7","95.3","75.2","22321","26018","151800","2.34","48495","27524","1.4","560.98","1.9","88.3","1095566","25.5","50.7","3537","53935","54876","97.8","-1","820491","4551","1204","2722","189","4124","542","3669"
"Washington County","VT","20.2","18.5","4.7","41.8","93.7","6161","0.3","1.0","0.9","2.0","0.0","2.0","95.8","94.1","70.4","24828","31002","226900","2.26","62791","35236","3.0","687.23","3.8","89.0","819797","22.9","50.3","3367","59807","59534","86.6","123864","1112638","7606","2428","4049","271","6930","806","6301"
"Washington County","WI","18.5","21.6","5.2","31.5","94.9","8576","0.4","1.5","1.4","3.3","0.0","1.3","95.5","92.5","77.5","54302","57523","236200","2.47","77663","39055","2.6","430.7","4.0","90.6","3740659","24.5","50.3","8387","136761","131887","306.2","165449","1813644","10017","2886","5376","308","9220","864","8330"
"Washington Parish","LA","18.5","23.8","6.7","11.6","79.5","3078","0.5","0.3","30.4","2.5","0.0","1.5","67.3","65.4","67.4","17613","21962","101000","2.53","37570","20177","1.2","669.53","4.3","84.2","616109","31.3","50.6","3043","45463","47168","70.4","33545","297031","3691","1608","1919","993","2616","519","3082"
"Washita County","OK","18.7","24.5","6.2","20.8","90.1","846","4.2","0.6","1.4","10.0","0.0","3.2","90.6","82.9","70.9","4224","5397","84700","2.59","53274","26265","2.2","1003.17","4.3","86.3","-1","24.7","50.5","682","10924","11629","11.6","-1","86009","1001","256","619","72","890","204","754"
"Washoe County","NV","16.8","21.3","5.8","30.8","88.6","33976","2.2","5.8","2.8","25.0","0.7","3.9","84.6","62.3","58.3","182180","205417","334100","2.47","64791","36071","14.1","6302.37","23.7","81.6","6427397","22.1","49.5","32421","486492","421407","66.9","1860761","6167020","37029","12047","18503","5881","28801","4272","29568"
"Washtenaw County","MI","14.5","18.4","4.8","55.9","95.3","30716","0.4","9.4","12.3","4.9","0.1","3.6","74.2","70.2","61.1","141245","152262","263600","2.45","72586","41399","12.5","705.97","15.2","77.5","5419884","24.2","50.4","13636","372258","344791","488.4","764915","4461115","33195","12250","17453","5988","25666","2488","28981"
"Watauga County","NC","16.4","12.7","3.3","42.2","90.8","4985","0.4","1.2","1.9","4.0","0.0","1.7","94.8","91.4","60.1","21077","34285","238000","2.32","47526","26882","2.9","312.56","4.4","74.0","107955","20.5","50.2","2723","54086","51079","163.4","142099","762864","6304","1630","3514","319","5727","675","5247"
"Watonwan County","MN","20.5","24.3","7.3","15.5","84.5","648","1.3","1.1","1.2","26.9","0.1","1.2","95.1","70.4","76.9","4310","5050","96900","2.51","54065","28341","12.2","434.95","21.2","93.1","343197","19.9","50.6","650","11253","11211","25.8","-1","64331","926","237","501","60","796","59","756"
"Waukesha County","WI","19.2","21.3","5.2","44.5","96.2","28498","0.3","3.8","1.8","4.9","0.1","1.5","92.5","88.0","76.3","158808","167953","282300","2.49","87277","46073","5.1","549.57","7.1","88.9","15221210","24.0","50.8","20616","406978","389891","709.4","725232","6616826","35566","10082","20304","1895","32227","3090","29954"
"Waupaca County","WI","21.3","20.2","5.0","19.9","91.8","3083","0.8","0.6","0.5","3.3","0.0","1.2","96.8","94.0","73.7","22305","26005","149900","2.23","58693","32000","2.1","747.71","3.9","87.9","2587243","23.4","49.3","4324","51812","52410","70.1","64515","541573","4388","1133","2328","89","4138","274","3861"
"Waushara County","WI","25.0","18.2","4.7","16.3","86.8","1560","0.8","0.5","2.1","6.4","0.1","1.3","95.2","89.5","81.6","9934","15195","146100","2.31","52810","28580","2.9","626.15","7.8","89.2","369452","27.0","47.4","2072","24520","24496","39.1","24769","219479","1908","564","1079","71","1756","273","1532"
"Wayne County","GA","16.0","24.3","6.3","13.0","83.4","1710","0.6","0.8","20.2","6.5","0.1","2.1","76.3","71.1","63.5","10400","12364","105400","2.66","45483","21090","2.4","641.78","5.6","88.0","-1","26.0","48.8","2024","30144","30099","46.9","34492","293052","2012","844","1020","520","1390","197","1701"
"Wayne County","IA","22.5","24.9","6.5","12.7","87.9","618","0.2","0.6","0.5","1.6","0.0","1.4","97.3","95.8","81.1","2689","3191","81100","2.35","44768","25628","1.3","525.44","10.5","91.9","102130","23.0","50.3","400","6497","6403","12.2","2127","70108","738","279","284","0","707","48","664"
"Wayne County","IL","22.2","22.5","6.1","15.4","87.9","1306","0.3","0.6","0.6","1.6","0.0","1.0","97.4","96.0","76.6","7051","8009","86400","2.32","50251","26313","0.8","713.81","3.4","89.6","-1","24.7","50.6","1030","16179","16760","23.5","-1","157578","1445","361","930","51","1314","135","1208"
"Wayne County","IN","19.5","22.0","5.8","18.2","86.5","3644","0.4","1.1","5.0","3.2","0.1","2.9","90.5","87.8","66.9","26644","31523","100500","2.39","46516","26510","2.4","401.74","5.3","85.0","2155071","20.2","51.6","4655","66553","68917","171.5","120334","950798","5002","1306","2776","282","4449","550","4008"
"Wayne County","KY","21.8","20.3","5.5","12.3","74.6","1157","0.4","0.5","2.0","3.7","0.1","1.5","95.6","92.8","73.5","8231","10971","88800","2.46","34914","25707","2.2","458.17","2.9","92.6","267156","24.4","50.2","1237","19555","20813","45.4","-1","157655","1454","357","961","49","1368","156","1241"
"Wayne County","MI","15.8","23.6","6.6","23.9","86.5","132583","0.5","3.5","38.7","6.1","0.0","2.6","54.6","49.4","62.0","682282","815510","113000","2.54","47301","27282","9.1","612.08","14.6","87.3","56638522","25.4","51.8","79330","1793561","1820584","2974.4","4238773","17409409","151746","71897","69371","70996","77652","12688","134610"
"Wayne County","MO","24.3","20.3","5.0","9.6","76.2","632","0.6","0.3","0.9","1.8","0.0","2.3","96.0","94.5","73.5","5426","8115","85100","2.41","34316","19457","0.6","759.18","1.1","91.6","63062","28.3","50.8","1298","10974","13521","17.8","8898","72270","908","184","616","52","824","187","688"
"Wayne County","MS","17.6","24.3","6.6","15.3","79.3","1518","0.3","0.3","39.8","1.6","0.0","1.0","58.6","57.5","83.5","7683","9532","85800","2.63","37706","23668","0.8","810.75","1.7","94.1","279850","33.5","52.0","768","19779","20747","25.6","-1","183856","1547","614","852","589","914","76","1426"
"Wayne County","NC","16.9","23.6","6.6","19.0","84.5","6621","0.9","1.3","32.4","12.4","0.2","2.5","62.8","52.7","62.1","48343","54732","123500","2.49","44416","25277","7.5","553.09","13.5","83.0","1691320","22.2","51.3","12045","117333","122623","221.7","161664","1557491","7136","2486","3839","1845","4999","964","5594"
"Wayne County","NE","16.7","19.6","5.3","32.4","96.0","644","0.8","0.6","1.7","6.6","0.1","1.4","95.2","89.3","64.1","3708","3997","137200","2.18","56456","27671","3.5","442.92","6.4","80.9","217557","16.8","49.8","496","9697","9595","21.7","11538","69563","727","212","386","0","681","65","624"
"Wayne County","NY","19.5","21.2","5.5","22.6","89.2","4818","0.4","0.7","3.1","4.7","0.0","2.3","93.4","89.5","76.4","36720","41894","123800","2.42","59449","31043","3.0","603.83","5.2","88.8","1656757","24.7","50.3","6291","91283","93772","155.3","71674","822602","5739","1837","3351","385","5109","576","4886"
"Wayne County","OH","18.3","24.2","6.5","22.2","86.5","9355","0.2","1.1","1.6","2.1","0.0","1.8","95.2","93.5","73.0","43824","46948","148900","2.56","58300","27884","2.1","554.93","11.4","86.6","3203754","20.5","50.3","6123","116894","114520","206.4","125602","1060028","10450","2503","6229","187","10006","1000","8897"
"Wayne County","PA","24.6","16.3","4.0","20.4","89.6","3913","0.3","0.7","3.7","4.9","0.0","1.2","94.0","89.9","81.0","18841","32481","181300","2.52","56096","27412","2.7","725.6","4.8","89.9","104108","29.3","46.9","4486","51155","52822","72.8","144575","711105","5270","1043","3336","179","4893","653","4239"
"Wayne County","TN","19.9","16.6","4.1","9.7","80.2","994","0.4","0.3","6.7","2.2","0.0","1.1","91.4","89.5","77.4","5764","7366","95200","2.54","41427","20689","1.1","734.1","1.7","92.5","79925","31.7","44.6","1260","16232","17021","23.2","7064","64965","1057","299","647","28","999","104","898"
"Wayne County","UT","22.0","23.9","5.9","23.4","88.4","377","1.2","1.0","0.5","7.0","0.2","1.3","95.8","89.9","73.9","1000","1703","205700","2.64","44245","22038","3.2","2460.68","10.1","89.0","1674","16.7","48.8","108","2486","2778","1.1","12758","32083","373","87","232","0","351","0","354"
"Wayne County","WV","21.7","20.1","4.9","15.1","79.7","1591","0.3","0.3","0.6","0.7","0.0","1.1","97.6","97.1","73.5","15124","19340","99100","2.65","37988","21553","1.0","505.98","1.5","88.8","446126","27.2","51.1","2354","38982","42481","84.0","-1","254945","1938","560","1206","38","1809","379","1433"
"Waynesboro city","VA","17.6","23.3","6.4","27.1","86.1","-1","0.5","1.1","14.2","8.1","0.3","2.1","81.4","75.1","57.7","9193","-1","174100","2.39","45011","27033","3.8","15.04","6.8","83.2","465496","22.4","51.1","1587","22196","21006","1396.8","67898","474273","1693","484","959","272","1218","153","1331"
"Weakley County","TN","19.0","19.2","5.2","21.6","85.1","1767","0.5","1.2","7.7","2.9","0.1","1.7","88.9","86.5","65.3","13640","15645","97800","2.27","39937","22755","1.7","580.36","2.0","84.3","-1","20.7","51.2","2137","32902","35021","60.3","35463","297356","2292","631","1392","160","2027","235","1905"
"Webb County","TX","9.7","32.4","8.9","18.9","67.6","26302","0.6","0.6","0.7","95.4","0.1","0.4","97.6","3.6","62.2","74789","85812","125900","3.61","46475","18466","25.9","3361.48","89.9","89.5","339566","21.3","50.8","4910","267114","250304","74.5","423690","3217642","28459","11040","14535","25633","1846","1602","25918"
"Weber County","UT","11.9","27.8","7.5","24.5","90.6","15078","1.4","1.6","1.7","18.7","0.4","2.7","92.2","75.6","73.4","83632","94283","220600","2.97","67244","27828","6.9","576.08","14.0","84.3","4799010","22.6","49.7","13753","262223","231236","401.4","268645","2991603","16247","5023","8712","1612","14018","1215","13996"
"Webster County","GA","23.7","18.5","4.8","14.7","79.3","158","0.5","0.6","42.2","5.0","-1.0","1.8","55.0","51.3","83.9","1140","1544","65700","2.29","37297","24102","4.1","209.12","9.6","91.7","-1","29.8","50.3","103","2348","2799","13.4","-1","8978","88","29","56","40","46","0","76"
"Webster County","IA","18.8","21.6","5.9","19.9","90.5","2020","0.6","1.2","4.7","5.5","0.1","2.1","91.3","86.6","68.0","15306","17053","99100","2.2","47466","26498","2.8","715.62","4.0","85.1","1549820","16.7","48.3","2456","36999","38013","53.1","61873","595768","3047","1087","1458","174","2689","280","2543"
"Webster County","KY","18.1","23.3","6.7","10.0","82.5","621","0.4","0.5","4.1","5.6","0.4","1.7","93.0","88.3","71.8","4953","5983","75600","2.56","42119","22911","3.7","331.94","5.7","86.0","189362","26.1","50.5","685","13017","13621","41.0","-1","79997","711","213","380","25","661","84","577"
"Webster County","MO","15.7","26.8","7.4","16.8","86.1","3198","0.8","0.4","1.2","2.2","0.0","1.9","95.7","94.0","75.0","13575","14887","136200","2.78","50560","22961","0.9","592.56","6.5","84.5","206221","28.6","48.8","2561","39085","36202","61.1","23525","376701","3074","862","1610","70","2868","211","2586"
"Webster County","MS","17.9","23.5","5.9","18.5","84.9","840","0.3","0.2","18.7","1.5","0.0","1.1","79.6","78.4","76.3","3782","4885","84000","2.56","45730","22011","0.3","420.94","0.6","89.7","-1","32.2","51.2","443","9926","10253","24.4","5660","52627","898","272","524","154","717","139","732"
"Webster County","NE","23.4","21.8","5.3","23.0","93.8","277","0.5","0.4","0.5","5.4","0.4","2.0","96.1","91.0","79.6","1507","1908","78400","2.3","46188","29969","0.9","574.91","2.3","86.4","-1","19.9","50.3","235","3395","3812","6.6","582","29339","369","42","263","0","354","71","277"
"Webster County","WV","24.0","19.4","4.5","11.4","79.3","284","0.1","0.2","0.5","0.7","0.0","1.4","97.8","97.1","72.6","3781","5452","69500","2.2","34927","22054","0.0","553.47","0.1","92.0","-1","29.1","49.7","604","8378","9154","16.5","-1","42861","518","198","289","0","496","99","397"
"Webster Parish","LA","20.2","22.4","6.1","15.4","83.9","2565","0.6","0.4","34.3","2.1","0.0","1.5","63.2","61.6","66.9","16551","19884","81500","2.31","28951","18962","1.1","593.03","2.0","92.1","-1","27.7","51.3","2254","36967","41207","69.5","34802","549383","3426","1230","1732","919","2379","360","2887"
"Weld County","CO","12.4","25.9","7.1","27.5","88.1","24243","1.7","1.8","1.6","30.0","0.2","2.3","92.4","64.9","72.9","104671","115897","299000","2.85","74150","31793","8.7","3987.24","19.3","83.3","5991440","27.7","49.4","16070","328981","252825","63.4","273945","2707571","22381","8221","11009","3432","18038","2181","19120"
"Wells County","IN","18.6","24.6","6.2","18.2","92.2","1745","0.3","0.7","0.9","3.3","0.0","1.2","96.9","93.9","78.9","10888","11969","127600","2.52","59237","28663","1.4","368.09","2.8","86.4","1126496","22.9","50.6","1786","28180","27636","75.1","20470","231484","1875","516","1077","66","1703","178","1546"
"Wells County","ND","28.7","20.5","5.7","22.2","87.0","349","0.6","0.3","0.4","1.2","0.1","1.4","97.3","96.2","78.7","1943","2513","94800","2.0","57582","35134","0.3","1271.05","1.7","89.8","29950","16.7","49.8","213","3982","4207","3.3","4810","80395","440","132","207","0","354","0","350"
"West Baton Rouge Parish","LA","14.3","24.1","7.0","22.0","87.2","1893","0.2","0.7","39.9","3.4","0.1","1.4","57.6","54.8","73.1","9643","11752","200000","2.61","65385","29697","1.0","192.39","3.2","87.7","7272323","23.2","50.8","1199","27199","23788","123.6","49147","455478","1966","713","1051","758","1121","138","1734"
"West Carroll Parish","LA","19.4","22.3","5.2","11.7","78.8","677","0.8","0.3","16.3","4.3","0.0","1.4","81.2","77.8","76.9","4084","5204","90300","2.6","38500","22439","1.5","359.65","4.7","94.1","-1","24.6","49.3","445","9751","11604","32.3","6302","87440","658","168","426","78","546","74","545"
"West Feliciana Parish","LA","15.5","16.4","4.2","24.2","82.1","840","0.2","0.6","44.3","1.7","0.0","1.0","53.8","52.6","73.2","3869","5547","229500","3.09","59637","26945","1.9","403.21","3.3","91.3","-1","29.0","35.0","1024","15310","15625","38.8","14670","86610","1061","290","697","271","771","74","967"
"Westchester County","NY","17.4","21.7","5.5","48.9","88.1","102917","1.0","6.5","16.7","25.5","0.1","2.6","73.2","52.6","61.4","349292","377297","540600","2.7","96610","57049","25.5","430.5","33.5","89.9","4492932","35.1","51.5","28127","1004457","949113","2204.7","2020014","14514240","114575","39870","64997","33391","77686","8037","102812"
"Westmoreland County","PA","23.3","18.2","4.5","29.1","94.4","21831","0.1","1.0","2.6","1.3","0.0","1.6","94.7","93.7","77.2","152283","170864","153100","2.26","60471","34274","1.6","1027.55","2.6","91.1","7681478","26.6","51.1","26075","354663","365169","355.4","516556","4671741","27796","8449","16593","906","25985","3055","23377"
"Westmoreland County","VA","25.6","19.1","5.4","19.2","84.5","1204","0.8","0.9","26.1","6.9","0.1","2.9","69.2","63.8","73.2","7923","11060","199100","2.22","53853","32996","3.9","229.38","5.9","88.0","167041","42.6","51.2","2024","18477","17454","76.1","-1","109793","1250","464","680","216","996","256","907"
"Weston County","WY","21.3","20.4","5.1","20.0","93.7","607","1.9","1.7","0.7","4.1","0.0","2.5","93.2","90.0","83.0","2891","3568","166300","2.32","57031","28531","1.7","2398.09","1.7","84.4","-1","24.0","47.7","576","6838","7208","3.0","9392","76514","742","197","323","0","693","184","508"
"Wetzel County","WV","23.2","19.7","5.1","12.0","86.2","530","0.1","0.3","0.5","1.1","-1.0","1.2","97.8","96.9","79.4","5762","8201","103600","2.65","43107","22546","0.3","358.06","0.6","91.1","-1","29.0","51.1","900","14442","16583","46.3","28220","208708","958","249","512","0","836","73","777"
"Wexford County","MI","19.6","23.0","6.1","18.2","89.6","2206","0.8","0.7","0.7","2.1","0.1","2.0","95.8","94.1","76.8","12963","17070","108300","2.54","47193","25149","1.2","565.0","2.3","85.9","1118962","21.3","49.8","2736","33673","32735","57.9","46585","497382","2642","821","1394","49","2448","204","2228"
"Wharton County","TX","17.4","25.8","6.8","18.0","78.3","3552","0.8","0.6","13.6","42.6","0.1","1.1","83.8","43.5","67.0","15199","17782","128100","2.7","48310","25298","9.9","1086.15","25.9","89.7","400840","23.6","50.9","1836","41570","41280","38.0","47512","563800","4345","1513","2222","1528","2641","228","3847"
"Whatcom County","WA","18.0","19.2","5.1","34.3","92.8","16490","3.4","4.8","1.3","9.8","0.3","4.0","86.2","78.3","61.9","86523","99210","345700","2.49","62984","32267","10.1","2106.86","11.6","79.6","14932180","22.0","50.6","14306","226847","201140","95.5","492949","3103604","18054","5810","8898","1802","15340","1751","15060"
"Wheatland County","MT","25.4","21.3","5.1","19.6","81.8","134","3.3","0.5","0.5","4.7","-1.0","3.0","92.8","90.4","74.7","792","1209","95400","2.66","39655","21619","3.0","1423.2","17.8","94.5","-1","8.1","48.2","115","2069","2168","1.5","3516","16677","194","91","68","0","183","0","180"
